Time,Mode,Gesture,BestCompletion
2025-07-22T16:58:01,local,paper,25.00
2025-07-22T16:58:14,local,rock,49.69
2025-07-22T16:58:25,local,rock,33.39
2025-07-22T17:09:52,local,scissors,25.00
2025-07-22T17:16:43,local,paper,25.00
2025-07-22T17:17:01,local,rock,37.68
2025-07-22T17:17:15,local,scissors,25.00
2025-07-22T18:27:04,local,rock,48.94
2025-07-22T18:29:00,local,rock,49.56
2025-07-22T18:29:37,local,rock,29.65
2025-07-22T18:29:56,local,scissors,25.83
2025-07-22T18:30:23,local,rock,0.00
2025-07-22T21:56:21,local,rock,45.70
2025-07-23T09:33:29,local,rock,49.95
2025-07-23T09:33:42,local,scissors,25.00
2025-07-23T09:33:56,local,paper,25.00
2025-07-23T09:39:32,local,paper,25.00
2025-07-23T09:46:07,local,rock,49.58
2025-07-23T14:18:55,local,paper,25.00
2025-07-24T11:49:49,local,rock,45.03
2025-07-24T11:58:22,local,rock,49.85
2025-07-24T11:58:35,local,paper,25.00
2025-07-24T11:58:50,local,paper,25.00
2025-07-24T12:01:40,local,paper,25.00
2025-07-24T12:04:46,local,paper,25.00
2025-07-24T12:07:32,local,paper,25.00
2025-07-24T12:07:47,local,rock,49.02
2025-07-24T12:08:03,local,paper,25.00
2025-07-24T12:14:02,local,rock,49.01
2025-07-24T12:14:20,local,rock,41.99
2025-07-24T12:16:49,local,rock,47.54
2025-07-24T15:50:13,local,rock,44.72
2025-07-24T16:07:33,local,rock,49.90
2025-07-24T16:07:48,local,rock,48.17
2025-07-24T16:08:26,local,unknown,0.00
2025-07-24T16:08:28,local,rock,46.17
2025-07-24T16:10:19,local,unknown,0.00
2025-07-24T16:10:22,local,rock,49.26
2025-07-24T16:10:30,local,rock,44.32
2025-07-24T16:12:29,local,rock,48.03
2025-07-24T16:12:47,local,unknown,0.00
2025-07-24T16:12:51,local,unknown,0.00
2025-07-24T16:12:59,local,paper,25.00
2025-07-24T16:13:01,local,paper,25.00
2025-07-24T16:13:07,local,rock,45.86
2025-07-24T16:13:09,local,rock,47.85
2025-07-24T16:13:18,local,rock,48.61
2025-07-24T16:13:19,local,rock,49.21
2025-07-24T16:25:33,local,rock,49.98
